date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:18	77324/77324	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20May%202018%2013:54:44%20GMT	https://mobiledirectflooring.com/	mobiledirectflooring.com/index.html	(from )
13:56:19	67/67	---MC-	200	added ('OK')	text/plain	date:Thu,%2010%20May%202018%2017:56:18%20GMT	https://mobiledirectflooring.com/robots.txt		(from )
13:56:21	19667/19667	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2010%20May%202018%2017:56:19%20GMT	https://mobiledirectflooring.com/xmlrpc.php	mobiledirectflooring.com/xmlrpc.php	(from https://mobiledirectflooring.com/)
13:56:21	270/270	---M--	302	error ('Found')	text/html	date:Thu,%2010%20May%202018%2017:56:21%20GMT	http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.1.delayed	(from https://mobiledirectflooring.com/)
13:56:22	270/270	---M--	302	error ('Found')	text/html	date:Thu,%2010%20May%202018%2017:56:22%20GMT	http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.css	(from https://mobiledirectflooring.com/)
13:56:24	97184/97184	---M--	200	added ('OK')	application/javascript	date:Mon,%2023%20May%202016%2003:30:30%20GMT	https://mobiledirectflooring.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	mobiledirectflooring.com/wp-includes/js/jquery/jqueryb8ff.js	(from https://mobiledirectflooring.com/)
13:56:24	10056/10056	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2000:41:28%20GMT	https://mobiledirectflooring.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	mobiledirectflooring.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://mobiledirectflooring.com/)
13:56:25	5860/5860	---MC-	200	added ('OK')	application/rss+xml	etag:%222100de24d40b09bfadcb75972b3d192b%22	https://mobiledirectflooring.com/feed/	mobiledirectflooring.com/feed/index.html	(from https://mobiledirectflooring.com/)
13:56:25	66994/66994	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Apr%202018%2017:02:30%20GMT	https://mobiledirectflooring.com/wp-content/plugins/divi-overlays/overlay-effects/js/snap.svg-min.js?ver=4.9.5	mobiledirectflooring.com/wp-content/plugins/divi-overlays/overlay-effects/js/snap.svg-min55fe.js	(from https://mobiledirectflooring.com/)
13:56:26	769/769	---MC-	200	added ('OK')	application/rss+xml	etag:%22f5c04d20af648834002ced1598088f0b%22	https://mobiledirectflooring.com/comments/feed/	mobiledirectflooring.com/comments/feed/index.html	(from https://mobiledirectflooring.com/)
13:56:26	8371/8371	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Apr%202018%2017:02:30%20GMT	https://mobiledirectflooring.com/wp-content/plugins/divi-overlays/overlay-effects/js/modernizr.custom.js?ver=4.9.5	mobiledirectflooring.com/wp-content/plugins/divi-overlays/overlay-effects/js/modernizr.custom55fe.js	(from https://mobiledirectflooring.com/)
13:56:28	19643/19643	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2010%20May%202018%2017:56:27%20GMT	https://mobiledirectflooring.com/xmlrpc.php?rsd	mobiledirectflooring.com/xmlrpc0db0.php	(from https://mobiledirectflooring.com/)
13:56:29	55112/55112	---MC-	200	added ('OK')	application/json	date:Thu,%2010%20May%202018%2017:56:28%20GMT	https://mobiledirectflooring.com/wp-json/	mobiledirectflooring.com/wp-json/index.html	(from https://mobiledirectflooring.com/)
13:56:30	2255/2255	---MC-	200	added ('OK')	application/json	date:Thu,%2010%20May%202018%2017:56:29%20GMT	https://mobiledirectflooring.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmobiledirectflooring.com%2F	mobiledirectflooring.com/wp-json/oembed/1.0/embedbb3b.json	(from https://mobiledirectflooring.com/)
13:56:31	2354/2354	---MC-	200	added ('OK')	text/xml	date:Thu,%2010%20May%202018%2017:56:30%20GMT	https://mobiledirectflooring.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmobiledirectflooring.com%2F&format=xml	mobiledirectflooring.com/wp-json/oembed/1.0/embedf966	(from https://mobiledirectflooring.com/)
13:56:32	19667/19667	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2010%20May%202018%2017:56:31%20GMT	https://mobiledirectflooring.com/wp-content/gadugi.otf	mobiledirectflooring.com/wp-content/gadugi.otf	(from https://mobiledirectflooring.com/)
13:56:32	31181/31181	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Apr%202018%2007:35:33%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/mdf-logo-500px.png	mobiledirectflooring.com/wp-content/uploads/2018/04/mdf-logo-500px.png	(from https://mobiledirectflooring.com/)
13:56:34	39462/39462	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2020:58:06%20GMT	https://mobiledirectflooring.com/financing-for-flooring/	mobiledirectflooring.com/financing-for-flooring/index.html	(from https://mobiledirectflooring.com/)
13:56:34	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:33%20GMT	https://mobiledirectflooring.com/carpet-flooring	mobiledirectflooring.com/carpet-flooring	(from https://mobiledirectflooring.com/)
13:56:35	60794/60794	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2019:11:28%20GMT	https://mobiledirectflooring.com/carpet-flooring/	mobiledirectflooring.com/carpet-flooring/index.html	(from https://mobiledirectflooring.com/)
13:56:36	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:35%20GMT	https://mobiledirectflooring.com/laminate-flooring	mobiledirectflooring.com/laminate-flooring	(from https://mobiledirectflooring.com/)
13:56:37	38184/38184	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:19:35%20GMT	https://mobiledirectflooring.com/laminate-flooring/	mobiledirectflooring.com/laminate-flooring/index.html	(from https://mobiledirectflooring.com/)
13:56:38	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:36%20GMT	https://mobiledirectflooring.com/hardwood-flooring	mobiledirectflooring.com/hardwood-flooring	(from https://mobiledirectflooring.com/)
13:56:39	38025/38025	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:16:22%20GMT	https://mobiledirectflooring.com/hardwood-flooring/	mobiledirectflooring.com/hardwood-flooring/index.html	(from https://mobiledirectflooring.com/)
13:56:39	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:38%20GMT	https://mobiledirectflooring.com/vinyl-flooring	mobiledirectflooring.com/vinyl-flooring	(from https://mobiledirectflooring.com/)
13:56:40	37982/37982	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:29:43%20GMT	https://mobiledirectflooring.com/vinyl-flooring/	mobiledirectflooring.com/vinyl-flooring/index.html	(from https://mobiledirectflooring.com/)
